"","turnover_count","x","y","play_pattern.id","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.id","match_id","position_group.id"
"607",1,118.6,62,1,15.53319,29.81407,-58.8563398562588,"",-1.778293,1,0,1,0,0,1,1,3233,3764289,6
"608",1,15.7,39.6,2,52.16301,11.91645,55.2725293397105,"",0.3872702,0,3,2,0,1,0,1,4381,3764289,6
"609",0,66.5,22,2,11.71708,13.34254,17.5070560253791,"",0.4598308,0,0,1,1,1,1,0,3575,3764289,1
"610",0,68.6,20.5,2,10.66068,10.8782,13.8517907465686,"",0.2950507,0,1,0,1,1,0,1,10287,3764289,4
"611",0,79.1,23.6,2,10.78147,9.167554,-20.0007127958231,"",-2.434979,0,0,4,1,1,1,1,3202,3764289,7
"612",0,73,18.8,2,7.305477,10.67384,7.10336795928816,"",1.905533,0,1,1,1,1,0,1,10287,3764289,4
"613",0,71,30.3,2,12.98499,10.26943,-7.41441083291812,"",2.581361,0,0,3,1,1,1,1,3202,3764289,7
"614",0,60,37.4,2,21.3965,12.9471,-20.9950159241622,"",-1.377984,0,0,0,1,1,1,0,5206,3764289,2
"615",0,68.6,18.4,2,9.483143,9.756531,14.0692209576311,"",1.325818,0,0,0,1,1,0,1,3575,3764289,1
"616",0,70.4,33.1,2,27.90645,19.04485,29.3650453409534,"",1.549294,0,1,1,1,1,1,0,6765,3764289,4
"617",0,71.6,61,2,26.60075,14.63093,56.3939145099745,"",0.6359824,0,0,1,0,1,1,0,3244,3764289,2
"618",0,98.3,79.4,2,25.24639,17.37395,-49.0509486775819,"",-1.922613,0,2,0,0,1,1,1,3193,3764289,4
"619",1,89.6,55.7,2,33.40733,18.26482,-113.611957108791,"",-1.101794,0,1,1,1,1,1,1,6765,3764289,4
"620",0,84,26.1,2,23.45421,13.24511,-38.1342970953784,"Recovery",-1.181581,0,0,2,1,1,1,0,3575,3764289,1
"621",0,99.8,16.6,2,12.58968,10.93268,13.8148759422935,"",2.333726,0,2,1,1,1,1,1,3575,3764289,1
"622",0,91.1,25.7,2,17.96218,18.72174,29.6996176547989,"",0.65909,0,1,1,1,1,1,0,6765,3764289,4
"623",0,105.9,36.4,2,2.56125,2.013086,-5.07833324408002,"",-2.466852,1,1,4,1,1,0,1,3233,3764289,6
"624",0,67.6,59.8,3,15.88081,15.16536,24.511594811708,"",-0.5425794,0,1,2,0,1,1,1,4381,3764289,6
"625",0,41.6,66.3,4,22.06898,15.92628,-27.0336687019547,"",-2.330559,0,0,0,0,1,1,1,3822,3764289,2
"626",0,22.8,48.4,4,20.54556,9.574261,-21.996186817849,"",-2.418184,0,1,0,1,1,1,1,3323,3764289,2
"627",1,68.2,53.5,4,17.42441,10.16909,27.7753754073579,"Recovery",-0.3271951,0,1,1,0,1,1,1,3244,3764289,2
"628",0,40.2,27.8,4,27.32471,12.97634,-13.3370720295976,"",-1.235158,0,0,1,1,1,1,1,3323,3764289,2
"629",0,56.1,1.7,4,7,5.549473,4.79763680140757,"",0,0,0,1,1,1,0,0,9627,3764289,1
"630",0,57.1,26.6,4,20.15564,15.30127,31.645971090313,"",0.8029403,1,0,4,1,1,1,1,9638,3764289,6
"631",0,72,38.3,4,36.07007,14.39232,-7.74134062707839,"",-0.5256797,0,2,1,0,1,1,1,9974,3764289,4
"632",0,76.8,52.8,3,14.77329,10.80573,-34.9283342248777,"",-1.796073,0,0,2,0,1,0,1,3202,3764289,7
"633",0,71.2,33.8,3,7.324616,5.213703,-2.65349925170149,"",2.462587,0,1,1,1,1,0,0,3575,3764289,1
"634",0,65.2,38.7,3,23.68122,15.20298,31.1508322549466,"",1.297137,0,0,1,1,1,1,1,5206,3764289,2
"635",0,77.1,64.5,3,23.7154,15.38039,56.1024180833885,"",0.5751378,0,1,0,0,1,1,1,7005,3764289,1
"636",1,111.3,17.4,2,8.009994,28.89077,15.4283590405851,"",1.520838,0,0,2,1,1,0,1,10287,3764289,4
"637",1,12.8,10.4,2,1.969772,10.22955,1.00294805923794,"",-0.4182243,0,2,1,1,1,1,0,9638,3764289,6
"638",1,77.4,56.3,3,24.88715,12.34868,23.2250226227159,"Recovery",1.247775,0,1,2,0,1,1,0,4734,3764289,1
"639",0,46.4,8.4,4,6.315853,4.828881,-7.03585423077491,"",-2.734622,1,0,1,1,1,0,1,10287,3764289,4
"640",1,40.1,5,4,41.57884,11.91548,45.9494607091874,"",0.7922008,1,0,1,1,1,0,1,3575,3764289,1
"641",0,68.8,27.6,4,5.069517,3.982251,8.29814651430122,"Recovery",0.3841694,1,1,2,1,1,1,1,6765,3764289,4
"642",0,43.1,49.4,1,33.46072,13.60409,-51.4113892356767,"",-2.994624,1,1,2,0,1,1,1,6574,3764289,4
"643",1,65.5,40.5,1,18.71069,7.404932,32.6397330116191,"Recovery",0.1502113,0,1,1,1,1,1,1,3193,3764289,4
"644",0,86.1,45.3,1,10.31746,16.27298,32.7077110732802,"",0.5853145,1,0,4,1,1,1,0,6765,3764289,4
